Annee;Prix de l'électricité ;Prix à la consommation 
1960;-0.3;3.6
1961;-1.6;3.3
1962;-2.4;4.5
1963;-0.7;5.3
1964;4.6;3.6
1965;-0.5;2.8
1966;-2.7;3.2
1967;1.5;3.3
1968;-0.4;5.3
1969;2.3;7.5
1970;1.8;5.4
1971;4.7;5.7
1972;4.2;6.0
1973;4.3;7.3
1974;16.7;13.8
1975;8.0;12.3
1976;13.1;10.1
1977;7.3;9.5
1978;6.4;8.9
1979;10.4;10.6
1980;22.0;12.9
1981;12.0;13.6
1982;17.7;11.9
1983;11.3;9.3
1984;9.1;7.7
1985;3.8;5.7
1986;-2.7;2.8
1987;-0.8;2.8
1988;0.1;2.6
1989;-0.1;3.8
1990;0.9;2.9
1991;2.8;2.7
1992;2.2;2.7
1993;1.3;1.8
1994;0.6;1.2
1995;0.9;1.6
1996;1.1;1.6
1997;-2.2;1.1
1998;-2.2;0.6
1999;-4.5;0.1
2000;-2.1;2.3
2001;-0.5;2.1
2002;0.9;1.6
2003;1.1;2.0
2004;1.4;2.1
2005;0.0;2.0
2006;0.6;2.1
2007;1.4;2.0
2008;1.4;2.6
2009;1.8;-0.8
2010;2.4;1.1
2011;6.5;1.5
2012;3.1;1.2
2013;6.5;0.7
2014;5.7;0.1
2015;4.8;0.2
2016;3.4;-0.1
